"code_commune","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","nb_points_geocodes_precis","latitude","longitude"
"01337","Saint-Bénigne","01",84,850596.2750000001,6595742.773750001,8,46.444818,4.961925
"01338","Groslée-Saint-Benoit","01",84,900096.3720000001,6514189.506,5,45.697947,5.571801
"01339","Saint-Bernard","01",84,835826.91,6540982.55,1,45.954978,4.753739
"01342","Sainte-Croix","01",84,859048.53,6534581.74,4,45.892318,5.051295
"01343","Saint-Cyr-sur-Menthon","01",84,851613.4006250001,6576758.468125,16,46.273696,4.969004
"01344","Saint-Denis-lès-Bourg","01",84,869448.6877358491,6569551.37622642,159,46.204583,5.197913
"01345","Saint-Denis-en-Bugey","01",84,880299.7310714284,6541477.846571431,35,45.949087,5.32785
"01346","Saint-Didier-d'Aussiat","01",84,858565.6285714286,6580564.084285715,7,46.306356,5.060542
"01347","Saint-Didier-de-Formans","01",84,837842.6966666671,6541076.243333331,33,45.955415,4.779785
"01348","Saint-Didier-sur-Chalaronne","01",84,840215.5135820898,6565702.79447761,67,46.176631,4.817729
"01349","Saint-Éloi","01",84,866835.3300000001,6538986.96,2,45.930106,5.153224
"01350","Saint-Étienne-du-Bois","01",84,876723.6832911394,6578901.24063291,79,46.286878,5.29575
"01351","Saint-Étienne-sur-Chalaronne","01",84,843973.342686568,6562157.956716426,67,46.14393,4.865342
"01352","Saint-Étienne-sur-Reyssouze","01",84,852294.94,6592918.19,1,46.41901,4.983121
"01353","Sainte-Euphémie","01",84,,,0,,
"01354","Saint-Genis-Pouilly","01",84,933186.6792600636,6576429.245538652,919,46.247496,6.027376
"01355","Saint-Genis-sur-Menthon","01",84,854670.2228571429,6577434.464285715,7,46.279088,5.008909
"01356","Saint-Georges-sur-Renon","01",84,856743.2333333334,6558228.643333334,3,46.105722,5.029413
"01357","Saint-Germain-de-Joux","01",84,,,0,,
"01358","Saint-Germain-les-Paroisses","01",84,,,0,,
"01359","Saint-Germain-sur-Renon","01",84,,,0,,
"01360","Saint-Jean-de-Gonville","01",84,927656.1380701753,6572190.569122811,57,46.211241,5.953586
"01361","Saint-Jean-de-Niost","01",84,872204.9092105264,6529722.11131579,38,45.84537,5.21913
"01362","Saint-Jean-de-Thurigneux","01",84,,,0,,
"01363","Saint-Jean-le-Vieux","01",84,884614.7653488371,6550521.310697675,43,46.029327,5.387056
"01364","Saint-Jean-sur-Reyssouze","01",84,859331.5900000001,6589009.1850000005,2,46.382195,5.073372
"01365","Saint-Jean-sur-Veyle","01",84,848034.955,6575494.984999999,4,46.263116,4.92215
"01366","Sainte-Julie","01",84,876706.4433333334,6534659.753333334,6,45.888661,5.278943
"01367","Saint-Julien-sur-Reyssouze","01",84,861455.765,6591224.275,2,46.401629,5.101768
"01368","Saint-Julien-sur-Veyle","01",84,851184.3566666668,6568460.300000001,3,46.199092,4.960759
"01369","Saint-Just","01",84,875982.96,6568169.043333333,9,46.190471,5.282104
"01370","Saint-Laurent-sur-Saône","01",84,841660.9478260874,6580026.843695654,46,46.30528,4.840789
"01371","Saint-Marcel","01",84,853834.66,6540715.98,2,45.948739,4.986069
"01372","Saint-Martin-de-Bavel","01",84,,,0,,
"01373","Saint-Martin-du-Frêne","01",84,896894.6100000002,6563013.354285714,28,46.138305,5.550944
"01374","Saint-Martin-du-Mont","01",84,879439.7728571428,6558365.823571429,14,46.101324,5.323167
"01375","Saint-Martin-le-Châtel","01",84,862790.6371428572,6578895.943571429,14,46.290334,5.114839
"01376","Saint-Maurice-de-Beynost","01",84,853769.2050000005,6527432.511034482,29,45.829174,4.980922
"01378","Saint-Maurice-de-Gourdans","01",84,870605.905,6526981.1375,8,45.8211,5.197552
"01379","Saint-Maurice-de-Rémens","01",84,,,0,,
"01380","Saint-Nizier-le-Bouchoux","01",84,865761.8076470586,6597671.13117647,17,46.458613,5.16009
"01381","Saint-Nizier-le-Désert","01",84,866268.505,6553378.0325,12,46.059787,5.15097
"01382","Sainte-Olive","01",84,,,0,,
"01383","Saint-Paul-de-Varax","01",84,864494.4121568631,6557607.220588234,51,46.09829,5.129506
"01384","Saint-Rambert-en-Bugey","01",84,888876.9135714283,6541472.105714284,42,45.946705,5.438519
"01385","Saint-Rémy","01",84,866787.5077777778,6567797.768888889,9,46.189459,5.162789
"01386","Saint-Sorlin-en-Bugey","01",84,,,0,,
"01387","Saint-Sulpice","01",84,857331.46,6581871.18,1,46.318411,5.044951
"01388","Saint-Trivier-de-Courtes","01",84,859317.5380487805,6597694.73560976,41,46.460381,5.07616
"01389","Saint-Trivier-sur-Moignans","01",84,846294.5739999998,6554278.6205,20,46.0725,4.892958
"01390","Saint-Vulbas","01",84,,,0,,
"01391","Salavre","01",84,880486.58,6587678.74,1,46.364887,5.347993
"01392","Samognat","01",84,898282.7145454548,6576233.305454546,11,46.25688,5.574497
"01393","Sandrans","01",84,853132.2083333334,6553163.655,6,46.060952,4.981034
"01396","Sault-Brénaz","01",84,887048.3006249999,6531240.3275,16,45.855118,5.410893
"01397","Sauverny","01",84,939378.8361764706,6583935.263529412,34,46.312868,6.111523
"01398","Savigneux","01",84,843169.3890000001,6546252.952,20,46.000917,4.850102
"01399","Ségny","01",84,936517.5553333338,6581883.835199999,75,46.295419,6.073331
"01400","Seillonnaz","01",84,,,0,,
"01401","Sergy","01",84,930959.0623333334,6577037.469333335,60,46.253735,5.998783
"01402","Sermoyer","01",84,851808.9677777777,6600980.370000001,9,46.491693,4.979427
"01403","Serrières-de-Briord","01",84,890065.0736363635,6526191.420909092,11,45.808838,5.447735
"01404","Serrières-sur-Ain","01",84,,,0,,
"01405","Servas","01",84,867504.1344444443,6561754.397777777,9,46.134883,5.169924
"01406","Servignat","01",84,858991.3966666666,6594733.9366666665,6,46.433807,5.0709
"01407","Seyssel","01",84,,,0,,
"01408","Simandre-sur-Suran","01",84,886305.4216666667,6573110.9366666665,6,46.232186,5.417844
